"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.878505200E-2,-7.190529723E-3,-5.233107507E-2,1.198421605E-2
7.127291700E-2,-5.060002208E-3,-5.126581341E-2,1.411474310E-2
7.376078100E-2,-1.864211401E-3,-5.020054802E-2,1.624527015E-2
7.624864600E-2,1.331579522E-3,-4.807002097E-2,1.837579720E-2
7.873651000E-2,4.527370445E-3,-4.700475931E-2,2.157158963E-2
8.122437500E-2,7.723161485E-3,-4.700475931E-2,2.370211668E-2
8.371224000E-2,9.853689000E-3,-4.593949392E-2,2.689790726E-2
8.620010400E-2,1.198421605E-2,-4.487423226E-2,3.009369783E-2
8.868796900E-2,1.411474310E-2,-4.487423226E-2,3.222422674E-2
9.117583300E-2,1.518000662E-2,-4.380896688E-2,3.648528084E-2
9.366369800E-2,1.731053367E-2,-4.380896688E-2,3.861580789E-2
9.615156200E-2,1.837579720E-2,-4.487423226E-2,3.968106955E-2
9.863942700E-2,1.944106072E-2,-4.700475931E-2,4.181159660E-2
1.011272920E-1,1.944106072E-2,-4.807002097E-2,4.181159660E-2
1.036151560E-1,1.944106072E-2,-5.020054802E-2,4.287686199E-2
1.061030210E-1,1.837579720E-2,-5.339634046E-2,4.181159660E-2
1.085908850E-1,1.837579720E-2,-5.659212917E-2,4.074633494E-2
1.110787500E-1,1.731053367E-2,-6.085318699E-2,3.968106955E-2
1.135666150E-1,1.731053367E-2,-6.404897571E-2,3.861580789E-2
1.160544790E-1,1.731053367E-2,-6.724476814E-2,3.648528084E-2
1.185423440E-1,1.837579720E-2,-7.044056058E-2,3.435475379E-2
1.210302080E-1,2.050632425E-2,-7.363634557E-2,3.222422674E-2
1.235180730E-1,2.476738021E-2,-7.576687634E-2,2.902843431E-2
1.260059370E-1,2.796317078E-2,-7.789740711E-2,2.583264373E-2
1.284938020E-1,3.222422674E-2,-7.789740711E-2,2.370211668E-2
1.309816670E-1,3.861580789E-2,-7.789740711E-2,2.157158963E-2
1.334695310E-1,4.500738904E-2,-7.576687634E-2,1.731053367E-2
1.359573960E-1,5.246423557E-2,-7.257108390E-2,1.411474310E-2
1.384452600E-1,6.098634377E-2,-6.724476814E-2,1.091895252E-2
1.409331250E-1,6.950845569E-2,-6.085318699E-2,6.657897960E-3
1.434209900E-1,7.909582555E-2,-5.126581341E-2,1.331579522E-3
1.459088540E-1,8.868319541E-2,-4.061317816E-2,-3.994738683E-3
1.483967190E-1,9.933583438E-2,-2.783001214E-2,-1.145158429E-2
1.508845830E-1,1.089232042E-1,-1.398158539E-2,-1.997369342E-2
1.533724480E-1,1.185105816E-1,-1.331579551E-4,-2.956106514E-2
1.558603120E-1,1.259674281E-1,1.371526904E-2,-3.914843872E-2
1.583481770E-1,1.344895363E-1,2.649843320E-2,-4.980107397E-2
1.608360420E-1,1.398158520E-1,3.821633384E-2,-6.151897460E-2
1.633239060E-1,1.451421678E-1,4.780370742E-2,-7.217161357E-2
1.658117710E-1,1.472726911E-1,5.526055023E-2,-8.495477587E-2
1.682996350E-1,1.483379602E-1,6.058686972E-2,-9.773793817E-2
1.707875000E-1,1.462074369E-1,6.378266215E-2,-1.105211005E-1
1.732753650E-1,1.398158520E-1,6.484792382E-2,-1.233042628E-1
1.757632290E-1,1.323590130E-1,6.484792382E-2,-1.350221634E-1
1.782510940E-1,1.227716357E-1,6.378266215E-2,-1.456748098E-1
1.807389580E-1,1.099884734E-1,6.165213138E-2,-1.541969180E-1
1.832268230E-1,9.507478029E-2,5.845634267E-2,-1.627190262E-1
1.857146870E-1,7.909582555E-2,5.526055023E-2,-1.691105962E-1
1.882025520E-1,6.205160543E-2,5.313002318E-2,-1.733716577E-1
1.906904170E-1,4.394212365E-2,5.099949613E-2,-1.765674502E-1
1.931782810E-1,2.583264373E-2,4.780370742E-2,-1.776327193E-1
1.956661460E-1,8.788425475E-3,4.567318037E-2,-1.786979735E-1
1.981540100E-1,-9.321057238E-3,4.460791498E-2,-1.776327193E-1
2.006418750E-1,-2.423474751E-2,4.460791498E-2,-1.755021811E-1
2.031297400E-1,-3.914843872E-2,4.673844203E-2,-1.733716577E-1
2.056176040E-1,-5.193160102E-2,4.886896908E-2,-1.691105962E-1
2.081054690E-1,-6.364950538E-2,5.313002318E-2,-1.659148186E-1
2.105933330E-1,-7.323687524E-2,5.845634267E-2,-1.605884880E-1
2.130811980E-1,-8.069372177E-2,6.484792382E-2,-1.552621722E-1
2.155690620E-1,-8.708529919E-2,7.230477035E-2,-1.488705873E-1
2.180569270E-1,-9.134636074E-2,7.976161689E-2,-1.435442716E-1
2.205447920E-1,-9.347688407E-2,8.934898674E-2,-1.371526867E-1
2.230326560E-1,-9.241162241E-2,9.893636405E-2,-1.296958476E-1
2.255205210E-1,-9.134636074E-2,1.095889956E-1,-1.211737394E-1
2.280083850E-1,-8.815056831E-2,1.202416345E-1,-1.126516312E-1
2.304962500E-1,-8.495477587E-2,1.308942735E-1,-1.030642539E-1
2.329841150E-1,-8.069372177E-2,1.404816359E-1,-9.241162241E-2
2.354719790E-1,-7.643266767E-2,1.490037590E-1,-8.175898343E-2
2.379598440E-1,-7.217161357E-2,1.564605981E-1,-7.004108280E-2
2.404477080E-1,-6.684529036E-2,1.628521830E-1,-5.832318589E-2
2.429355730E-1,-6.364950538E-2,1.692437679E-1,-4.447475821E-2
2.454234370E-1,-6.045371294E-2,1.745700836E-1,-3.275685757E-2
2.479113020E-1,-5.938844755E-2,1.767006069E-1,-1.997369342E-2
2.503991670E-1,-5.832318589E-2,1.788311303E-1,-8.255792782E-3
2.528870310E-1,-5.938844755E-2,1.788311303E-1,3.462106921E-3
2.553748960E-1,-6.258423626E-2,1.777658761E-1,1.411474310E-2
2.578627600E-1,-6.684529036E-2,1.767006069E-1,2.476738021E-2
