"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.179797800E-2,2.992752194E-2,1.045667648E0,9.713874817E0
8.424797800E-2,1.556231081E-2,1.050456047E0,9.742605209E0
8.670250900E-2,2.513911761E-2,1.060032845E0,9.800065994E0
8.915704100E-2,2.992752194E-2,1.060032845E0,9.795277596E0
9.162188400E-2,2.035071515E-2,1.083974838E0,9.780912399E0
9.409787400E-2,1.077390742E-2,1.083974838E0,9.761758804E0
9.658516600E-2,1.197100850E-3,1.074398041E0,9.733028412E0
9.908334300E-2,2.513911761E-2,1.069609642E0,9.704298019E0
1.015915720E-1,4.908113554E-2,1.074398041E0,9.713874817E0
1.041086030E-1,4.429273307E-2,1.064821243E0,9.723451614E0
1.066329260E-1,2.513911761E-2,1.055244446E0,9.761758804E0
1.091627700E-1,1.556231081E-2,1.060032845E0,9.814431190E0
1.116962590E-1,1.077390742E-2,1.060032845E0,9.857526779E0
1.142314160E-1,5.985504016E-3,1.045667648E0,9.852738380E0
1.167593320E-1,1.197100850E-3,1.016937137E0,9.795277596E0
1.192470930E-1,2.035071515E-2,1.031302333E0,9.728240013E0
1.217348530E-1,-3.591302549E-3,1.060032845E0,9.685144424E0
1.242226140E-1,-2.753331885E-2,1.069609642E0,9.694721222E0
1.267103740E-1,-1.316810958E-2,1.055244446E0,9.718663216E0
1.291981340E-1,1.197100850E-3,1.050456047E0,9.766547203E0
1.316858950E-1,2.035071515E-2,1.083974838E0,9.819219589E0
1.341736550E-1,2.035071515E-2,1.074398041E0,9.814431190E0
1.366614160E-1,1.197100850E-3,1.064821243E0,9.771335602E0
1.391491760E-1,5.985504016E-3,1.069609642E0,9.694721222E0
1.416369360E-1,1.197100850E-3,1.083974838E0,9.709086418E0
1.441246970E-1,2.513911761E-2,1.064821243E0,9.723451614E0
1.466124570E-1,2.992752194E-2,1.060032845E0,9.718663216E0
1.491001660E-1,2.513911761E-2,1.060032845E0,9.718663216E0
1.515878740E-1,3.471592441E-2,1.060032845E0,9.728240013E0
1.540755820E-1,2.513911761E-2,1.069609642E0,9.771335602E0
1.565634470E-1,1.556231081E-2,1.055244446E0,9.790489197E0
1.590512070E-1,2.035071515E-2,1.040879130E0,9.785700798E0
1.615389680E-1,4.908113554E-2,1.031302333E0,9.756970406E0
1.640306860E-1,4.908113554E-2,1.040879130E0,9.728240013E0
1.665144890E-1,1.556231081E-2,1.069609642E0,9.718663216E0
1.689982910E-1,1.077390742E-2,1.069609642E0,9.723451614E0
1.714824050E-1,1.556231081E-2,1.088763237E0,9.752182007E0
1.739667800E-1,3.950432688E-2,1.088763237E0,9.790489197E0
1.764511550E-1,2.992752194E-2,1.074398041E0,9.795277596E0
