"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.091627700E-1,-7.190529723E-3,3.994738800E-4,-2.663159103E-4
1.116962590E-1,-5.060002208E-3,-6.657897611E-4,-2.663159103E-4
1.142314160E-1,-5.060002208E-3,-1.731053460E-3,7.989477599E-4
1.167593320E-1,-2.929474926E-3,-1.731053460E-3,7.989477599E-4
1.192470930E-1,-1.864211401E-3,-2.796316985E-3,-2.663159103E-4
1.217348530E-1,-1.864211401E-3,-2.796316985E-3,-2.663159103E-4
1.242226140E-1,-7.989477599E-4,-2.796316985E-3,-2.663159103E-4
1.267103740E-1,-1.864211401E-3,-2.796316985E-3,7.989477599E-4
1.291981340E-1,-1.864211401E-3,-3.861580743E-3,7.989477599E-4
1.316858950E-1,-1.864211401E-3,-3.861580743E-3,7.989477599E-4
1.341736550E-1,-1.864211401E-3,-3.861580743E-3,7.989477599E-4
1.366614160E-1,-7.989477599E-4,-3.861580743E-3,7.989477599E-4
1.391491760E-1,-7.989477599E-4,-3.861580743E-3,1.864211401E-3
1.416369360E-1,-7.989477599E-4,-3.861580743E-3,1.864211401E-3
1.441246970E-1,-7.989477599E-4,-3.861580743E-3,1.864211401E-3
1.466124570E-1,-7.989477599E-4,-4.926844500E-3,1.864211401E-3
1.491001660E-1,-7.989477599E-4,-3.861580743E-3,2.929474926E-3
1.515878740E-1,-7.989477599E-4,-3.861580743E-3,2.929474926E-3
1.540755820E-1,-7.989477599E-4,-4.926844500E-3,1.864211401E-3
1.565634470E-1,-7.989477599E-4,-4.926844500E-3,1.864211401E-3
1.590512070E-1,-7.989477599E-4,-4.926844500E-3,1.864211401E-3
1.615389680E-1,-7.989477599E-4,-4.926844500E-3,2.929474926E-3
1.640306860E-1,2.663159103E-4,-4.926844500E-3,1.864211401E-3
1.665144890E-1,2.663159103E-4,-4.926844500E-3,1.864211401E-3
1.689982910E-1,1.331579522E-3,-4.926844500E-3,1.864211401E-3
1.714824050E-1,2.663159103E-4,-4.926844500E-3,1.864211401E-3
1.739667800E-1,2.663159103E-4,-3.861580743E-3,1.864211401E-3
1.764511550E-1,2.663159103E-4,-3.861580743E-3,7.989477599E-4
1.789362070E-1,1.331579522E-3,-3.861580743E-3,7.989477599E-4
