"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.694938400E-2,-9.767146111E0,-7.020996213E-1,1.705868691E-1
2.944412400E-2,-9.652224541E0,-7.260416746E-1,7.960720360E-2
3.193886300E-2,-9.546878815E0,-7.643488646E-1,1.735796221E-2
3.443360300E-2,-9.475052834E0,-8.026561141E-1,-2.094926499E-2
3.692839400E-2,-9.417592049E0,-8.553285599E-1,-5.925649032E-2
3.942584200E-2,-9.403226852E0,-9.175778031E-1,-7.362170517E-2
4.192329000E-2,-9.408015251E0,-9.941922426E-1,-3.531447425E-2
4.437329000E-2,-9.470264435E0,-1.099537134E0,-1.795651275E-3
4.682329000E-2,-9.714473724E0,-1.334168911E0,8.918401599E-2
4.927329000E-2,-1.033696556E1,-1.736394763E0,3.094505668E-1
5.172776900E-2,-1.064821243E1,-1.722029567E0,4.243722558E-1
5.418224900E-2,-1.050455952E1,-1.492186189E0,4.626794755E-1
5.664704000E-2,-1.015500641E1,-1.228824019E0,5.153518915E-1
5.912297800E-2,-9.824606895E0,-9.750386477E-1,6.111199856E-1
6.161021700E-2,-9.585186958E0,-7.499836683E-1,7.116764784E-1
6.410834200E-2,-9.465476036E0,-5.632359385E-1,7.882909179E-1
6.661651900E-2,-9.441534042E0,-4.578910768E-1,8.170213103E-1
6.913349900E-2,-9.431957245E0,-3.956418335E-1,8.265981078E-1
7.165776900E-2,-9.451110840E0,-3.573346138E-1,8.170213103E-1
7.418761300E-2,-9.532513618E0,-3.573346138E-1,8.218097091E-1
7.672110300E-2,-9.628282547E0,-3.764882088E-1,8.074445128E-1
7.925625900E-2,-9.690531731E0,-3.908534348E-1,7.404068708E-1
8.178454000E-2,-9.733627319E0,-3.908534348E-1,6.637924314E-1
8.427224900E-2,-9.762357712E0,-3.333925903E-1,5.632359385E-1
8.675995700E-2,-9.982624054E0,-2.567781210E-1,5.087678507E-2
8.924766500E-2,-1.020767879E1,-1.945288926E-1,-3.513490856E-1
9.173537400E-2,-9.939528465E0,-2.759317458E-1,-1.885433793E-1
9.422308200E-2,-9.580398560E0,-4.004302323E-1,-2.094926499E-2
9.671079000E-2,-9.226056099E0,-5.392939448E-1,3.573346138E-1
9.919849900E-2,-8.957905769E0,-6.733692288E-1,7.787141204E-1
1.016862070E-1,-8.857349396E0,-7.930793166E-1,1.147421122E0
1.041739150E-1,-8.852560997E0,-8.696937561E-1,1.458667397E0
1.066616240E-1,-8.933963776E0,-9.127894044E-1,1.712452769E0
1.091493320E-1,-9.048885345E0,-9.367313981E-1,1.923142552E0
1.116370400E-1,-9.163806915E0,-9.271546006E-1,2.076371431E0
1.141247490E-1,-9.297882080E0,-9.175778031E-1,2.172139406E0
1.166124570E-1,-9.417592049E0,-8.792705536E-1,2.172139406E0
1.191001650E-1,-9.537302017E0,-8.505401611E-1,2.071583033E0
1.215878740E-1,-9.637859344E0,-8.313865662E-1,1.927930951E0
