"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.418761300E-2,-6.880271435E-1,-3.022685647E-2,-1.506016403E-1
7.672110300E-2,-6.709829569E-1,-1.105211023E-2,-1.484711170E-1
7.925625900E-2,-6.443513632E-1,1.344895363E-2,-1.452753246E-1
8.178454000E-2,-6.145239472E-1,3.901528195E-2,-1.367532164E-1
8.427224900E-2,-5.793702602E-1,6.245107949E-2,-1.250353158E-1
8.675995700E-2,-5.463470817E-1,8.375635743E-2,-1.069258377E-1
8.924766500E-2,-5.143891573E-1,1.103879437E-1,-8.349003643E-2
9.173537400E-2,-4.866923392E-1,1.444763839E-1,-5.579318479E-2
9.422308200E-2,-4.621912539E-1,1.828258783E-1,-2.809632942E-2
9.671079000E-2,-4.387554526E-1,2.275669426E-1,-3.595264861E-3
9.919849900E-2,-4.163849354E-1,2.755038142E-1,1.664474420E-2
1.016862070E-1,-3.908185959E-1,3.234406710E-1,2.836264484E-2
1.041739150E-1,-3.652522564E-1,3.671164811E-1,3.155843541E-2
1.066616240E-1,-3.364901543E-1,4.065312445E-1,2.410159074E-2
1.091493320E-1,-3.077280223E-1,4.342280924E-1,8.122635074E-3
1.116370400E-1,-2.779006660E-1,4.512723088E-1,-1.211737376E-2
1.141247490E-1,-2.480732650E-1,4.534028471E-1,-3.874896467E-2
1.166124570E-1,-2.203764170E-1,4.395544231E-1,-6.431528926E-2
1.191001650E-1,-1.948100924E-1,4.097270370E-1,-8.881635964E-2
1.215878740E-1,-1.713742912E-1,3.692470193E-1,-1.090563685E-1
1.240755820E-1,-1.511342824E-1,3.202448785E-1,-1.239700541E-1
1.265632900E-1,-1.351553202E-1,2.659164369E-1,-1.335574239E-1
1.290509990E-1,-1.234374270E-1,2.094574571E-1,-1.378184855E-1
1.315387070E-1,-1.159805804E-1,1.529984921E-1,-1.388837546E-1
1.340264150E-1,-1.106542572E-1,9.973530471E-2,-1.356879622E-1
1.365141240E-1,-1.063932031E-1,4.647212476E-2,-1.292963773E-1
1.390018320E-1,-1.042626798E-1,-3.595264861E-3,-1.229047924E-1
1.414895400E-1,-1.000016257E-1,-5.153212696E-2,-1.143826842E-1
1.439772490E-1,-9.467530251E-2,-9.627319872E-2,-1.058605760E-1
1.464649570E-1,-8.721846342E-2,-1.356879622E-1,-9.627319872E-2
1.489526650E-1,-7.869634777E-2,-1.719069183E-1,-8.668582886E-2
1.514403740E-1,-6.697845459E-2,-2.027995586E-1,-7.709845901E-2
1.539280820E-1,-5.313002318E-2,-2.283658981E-1,-6.644582003E-2
1.564157900E-1,-3.715106845E-2,-2.507364154E-1,-5.579318479E-2
1.589034990E-1,-1.797632314E-2,-2.688459158E-1,-4.407528415E-2
1.613912070E-1,3.328948980E-3,-2.837595940E-1,-3.129211813E-2
1.638789150E-1,2.783001214E-2,-2.954775095E-1,-1.744369231E-2
1.663666240E-1,5.339634046E-2,-3.029343486E-1,-3.595264861E-3
1.688543320E-1,8.215846121E-2,-3.061301410E-1,8.122635074E-3
1.713420400E-1,1.109205782E-1,-3.039996028E-1,2.090579830E-2
1.738297490E-1,1.418132186E-1,-2.976080179E-1,3.262370080E-2
1.763174570E-1,1.716406047E-1,-2.890859246E-1,4.434159771E-2
1.788051650E-1,2.014679909E-1,-2.763027549E-1,5.392897129E-2
1.812928740E-1,2.302301079E-1,-2.613890767E-1,6.138581783E-2
1.837805820E-1,2.579269707E-1,-2.454101145E-1,6.777740270E-2
1.862682900E-1,2.834932804E-1,-2.273006290E-1,7.203845680E-2
1.887559990E-1,3.069290817E-1,-2.070606202E-1,7.416898012E-2
1.912437070E-1,3.261038363E-1,-1.868206114E-1,7.416898012E-2
1.937314150E-1,3.420827985E-1,-1.655153334E-1,7.203845680E-2
1.962191240E-1,3.559312224E-1,-1.431448013E-1,6.671213359E-2
1.987068320E-1,3.665838540E-1,-1.229047924E-1,5.925529078E-2
2.011945400E-1,3.751059473E-1,-1.026647836E-1,4.860265180E-2
2.036822490E-1,3.793670237E-1,-8.455529809E-2,3.795001656E-2
2.061699570E-1,3.825628161E-1,-6.857634336E-2,2.836264484E-2
2.086576650E-1,3.825628161E-1,-5.685844645E-2,1.877527125E-2
2.111453740E-1,3.804322779E-1,-4.727107286E-2,1.025316212E-2
2.136330820E-1,3.783017397E-1,-4.087949172E-2,5.992108025E-3
2.161207900E-1,3.719101548E-1,-3.661843762E-2,3.861580743E-3
2.186084990E-1,3.655185997E-1,-3.555317223E-2,5.992108025E-3
2.210962070E-1,3.559312224E-1,-3.661843762E-2,1.025316212E-2
2.235839150E-1,3.442133069E-1,-3.981423005E-2,1.664474420E-2
2.260716240E-1,3.303648829E-1,-4.620581120E-2,2.410159074E-2
2.285593320E-1,3.143859208E-1,-5.472791940E-2,3.262370080E-2
2.310470400E-1,2.962764502E-1,-6.538055837E-2,4.114580899E-2
2.335347490E-1,2.781669796E-1,-7.709845901E-2,5.179844424E-2
2.360224570E-1,2.568616867E-1,-8.668582886E-2,6.138581783E-2
2.385101650E-1,2.355564237E-1,-9.733846784E-2,7.310371846E-2
2.409978740E-1,2.131858915E-1,-1.047953144E-1,8.375635743E-2
2.434855820E-1,1.908153445E-1,-1.111868918E-1,9.440898895E-2
2.459732900E-1,1.684448123E-1,-1.165132076E-1,1.039963663E-1
2.484609990E-1,1.471395344E-1,-1.186437383E-1,1.135837361E-1
2.509487070E-1,1.237037405E-1,-1.186437383E-1,1.221058443E-1
2.534364150E-1,1.013332009E-1,-1.186437383E-1,1.295626909E-1
2.559241240E-1,8.002793044E-2,-1.154479459E-1,1.338237375E-1
2.584118320E-1,5.978792161E-2,-1.111868918E-1,1.370195299E-1
2.608995400E-1,3.954791278E-2,-1.037300453E-1,1.380847991E-1
2.633872490E-1,2.143843099E-2,-9.307741374E-2,1.370195299E-1
2.658749570E-1,5.459476262E-3,-8.135951310E-2,1.338237375E-1
2.683626650E-1,-8.388951421E-3,-6.644582003E-2,1.295626909E-1
2.708503740E-1,-2.117211558E-2,-4.940159991E-2,1.231711060E-1
2.733380820E-1,-3.182475269E-2,-2.916159295E-2,1.178447902E-1
2.758257900E-1,-4.141212255E-2,-7.856319658E-3,1.103879437E-1
2.783134990E-1,-4.886896908E-2,1.344895363E-2,1.018658355E-1
2.808012070E-1,-5.526055023E-2,3.368896246E-2,9.334372729E-2
2.832889670E-1,-6.058686972E-2,5.286370963E-2,8.375635743E-2
2.857767280E-1,-6.484792382E-2,6.884266436E-2,7.416898012E-2
2.882644880E-1,-6.910897791E-2,8.056056499E-2,6.671213359E-2
2.907522490E-1,-7.230477035E-2,8.908267319E-2,5.925529078E-2
2.932400090E-1,-7.550056279E-2,9.440898895E-2,5.392897129E-2
2.957277690E-1,-7.763108611E-2,9.547425061E-2,4.860265180E-2
2.982155300E-1,-8.082687855E-2,9.334372729E-2,4.327633604E-2
3.007032900E-1,-8.295740932E-2,8.908267319E-2,3.901528195E-2
3.031910510E-1,-8.508793265E-2,8.269108832E-2,3.475422785E-2
3.056788110E-1,-8.721846342E-2,7.416898012E-2,3.262370080E-2
3.081665710E-1,-8.721846342E-2,6.351634115E-2,3.155843541E-2
3.106543320E-1,-8.615319431E-2,4.966791719E-2,3.155843541E-2
3.131420920E-1,-8.402267098E-2,3.475422785E-2,3.581948951E-2
3.156298530E-1,-7.976161689E-2,1.984053478E-2,4.327633604E-2
3.181176130E-1,-7.550056279E-2,3.861580743E-3,5.286370963E-2
3.206053740E-1,-7.017423958E-2,-9.986846708E-3,6.564687192E-2
3.230931340E-1,-6.378266215E-2,-2.170474641E-2,7.949529588E-2
3.255808940E-1,-5.739107728E-2,-3.235738352E-2,9.334372729E-2
3.280686550E-1,-4.993423447E-2,-3.874896467E-2,1.082574204E-1
3.305564150E-1,-4.354264960E-2,-4.301001877E-2,1.210405827E-1
3.330441760E-1,-3.608580679E-2,-4.407528415E-2,1.327584833E-1
3.355319360E-1,-2.862896025E-2,-4.194475710E-2,1.444763839E-1
3.380196960E-1,-2.010685205E-2,-3.555317223E-2,1.529984921E-1
3.405074570E-1,-1.265000552E-2,-2.703106403E-2,1.583248079E-1
3.429952170E-1,-4.127896391E-3,-1.637842879E-2,1.625858694E-1
3.454829780E-1,5.459476262E-3,-4.660528619E-3,1.625858694E-1
3.479707380E-1,1.291632187E-2,8.122635074E-3,1.604553312E-1
3.504584990E-1,2.037316747E-2,2.090579830E-2,1.540637612E-1
3.529462590E-1,2.676474862E-2,3.368896246E-2,1.444763839E-1
