"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.129008020E-1,-1.517902851E0,7.384206057E-1,-1.302337408E0,2.131988926E0
1.178060100E-1,-1.367816925E0,7.135843039E-1,-1.162837982E0,1.931920773E0
1.227112180E-1,-1.232909679E0,6.542415619E-1,-9.262075424E-1,1.675099612E0
1.276164270E-1,-1.002259254E0,4.994629622E-1,-6.349339485E-1,1.287294831E0
1.325216350E-1,-6.121077538E-1,2.404873371E-1,-2.706785798E-1,7.111799738E-1
1.374268430E-1,-1.085400581E-1,-1.545914412E-1,1.615339518E-1,2.485410941E-1
1.423320520E-1,2.773556709E-1,-5.735349655E-1,6.257952452E-1,8.930219559E-1
1.472396560E-1,5.466446877E-1,-9.148569107E-1,9.526320696E-1,1.429437456E0
1.521522600E-1,7.709398270E-1,-1.212454557E0,1.169778824E0,1.852775423E0
1.570722080E-1,8.541173935E-1,-1.443486452E0,1.297256470E0,2.120387702E0
1.620014270E-1,7.262458801E-1,-1.480845928E0,1.375931263E0,2.147911679E0
1.669413750E-1,4.193964005E-1,-1.347652435E0,1.362336516E0,1.961637380E0
1.718930410E-1,3.615140915E-2,-1.169620156E0,1.146053314E0,1.637912218E0
1.768568950E-1,-2.478218079E-1,-1.007000327E0,7.442105412E-1,1.276446096E0
1.818329370E-1,-4.148550034E-1,-8.075120449E-1,1.540106386E-1,9.208146683E-1
1.868206450E-1,-5.024480820E-1,-5.482295752E-1,-5.040750504E-1,8.983882226E-1
1.918190830E-1,-4.956197739E-1,-3.770004511E-1,-1.013190269E0,1.189253052E0
1.968268950E-1,-2.503361702E-1,-4.784615040E-1,-1.292623520E0,1.400881570E0
2.018424160E-1,1.471309662E-1,-8.477716446E-1,-1.411213875E0,1.652842667E0
2.068637180E-1,5.447320938E-1,-1.287522912E0,-1.259126186E0,1.881448127E0
2.118887700E-1,9.018573761E-1,-1.607155085E0,-9.467831254E-1,2.071881386E0
2.169154370E-1,1.188240051E0,-1.890563369E0,-5.250600576E-1,2.293868421E0
2.219299160E-1,1.346396923E0,-2.116711140E0,1.256483793E-2,2.508666697E0
2.269053850E-1,1.292290211E0,-2.241799355E0,5.844632387E-1,2.652786386E0
2.318808540E-1,1.018071651E0,-2.171721697E0,1.130031705E0,2.651380144E0
2.368563220E-1,5.759677887E-1,-1.911792278E0,1.613361478E0,2.567026269E0
2.418317910E-1,9.550905228E-2,-1.540860415E0,1.962285280E0,2.496785196E0
2.468072600E-1,-3.159513474E-1,-1.167738914E0,2.045731306E0,2.376648060E0
2.517827290E-1,-5.676665306E-1,-9.075930119E-1,1.866140604E0,2.151383536E0
2.567581970E-1,-6.034913063E-1,-8.496419787E-1,1.570040703E0,1.884441842E0
2.617336660E-1,-4.522414207E-1,-9.275752306E-1,1.230343580E0,1.605821732E0
2.667091350E-1,-1.743626595E-1,-1.058480859E0,7.688201666E-1,1.319798664E0
2.716846040E-1,3.209481239E-1,-1.362738132E0,1.790686995E-1,1.411427829E0
2.766600720E-1,9.310064316E-1,-1.804182053E0,-4.377970994E-1,2.076899650E0
