"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.750511400E-2,1.950098276E0,1.291099548E0,-1.292963773E-1,2.342336202E0
3.999266600E-2,1.943706632E0,1.275120616E0,-1.367532164E-1,2.328654010E0
4.248021800E-2,1.927727699E0,1.248489022E0,-1.474058628E-1,2.301431600E0
4.496777100E-2,1.904291868E0,1.217596292E0,-1.580584943E-1,2.265800242E0
4.745532300E-2,1.874464512E0,1.184573174E0,-1.676458716E-1,2.223721194E0
4.994287500E-2,1.836115003E0,1.146223664E0,-1.761679798E-1,2.171677266E0
5.243042700E-2,1.793504477E0,1.106808901E0,-1.846900880E-1,2.115607402E0
5.491797900E-2,1.744502425E0,1.064198375E0,-1.921469271E-1,2.052492956E0
5.740553100E-2,1.690173984E0,1.020522594E0,-1.985385120E-1,1.984331626E0
5.989308300E-2,1.630519152E0,9.747162461E-1,-2.049300969E-1,1.910670251E0
6.238063500E-2,1.567668557E0,9.267793894E-1,-2.091911435E-1,1.833102746E0
6.486818700E-2,1.500556946E0,8.777772188E-1,-2.145174593E-1,1.751622600E0
6.735573900E-2,1.430249572E0,8.277098536E-1,-2.187785208E-1,1.666907760E0
6.984329100E-2,1.357811689E0,7.765771747E-1,-2.209090441E-1,1.579723235E0
7.233084300E-2,1.283243179E0,7.265098095E-1,-2.230395675E-1,1.491400754E0
7.481839600E-2,1.207609534E0,6.743118763E-1,-2.241048366E-1,1.401156762E0
7.730594800E-2,1.130910516E0,6.221139431E-1,-2.241048366E-1,1.310040965E0
7.979350000E-2,1.054211497E0,5.688507557E-1,-2.241048366E-1,1.218677989E0
8.228105200E-2,9.775125384E-1,5.177181363E-1,-2.241048366E-1,1.128621198E0
8.476860400E-2,9.018788338E-1,4.655202031E-1,-2.230395675E-1,1.039154050E0
8.725615600E-2,8.273103833E-1,4.143875539E-1,-2.219743133E-1,9.515419649E-1
8.974370800E-2,7.548724413E-1,3.643201590E-1,-2.209090441E-1,8.668116212E-1
9.223126000E-2,6.845650673E-1,3.131875098E-1,-2.198437899E-1,7.842493479E-1
9.471881200E-2,6.153228879E-1,2.631201148E-1,-2.187785208E-1,7.040727891E-1
9.720636400E-2,5.482112765E-1,2.141179889E-1,-2.177132517E-1,6.275198617E-1
9.969391600E-2,4.832302332E-1,1.661811322E-1,-2.187785208E-1,5.558701900E-1
1.021814680E-1,4.203796685E-1,1.182442605E-1,-2.187785208E-1,4.884309695E-1
1.046690210E-1,3.607248962E-1,7.350318879E-2,-2.187785208E-1,4.282396650E-1
1.071565730E-1,3.032006621E-1,2.876211889E-2,-2.198437899E-1,3.756184141E-1
1.096441250E-1,2.488722205E-1,-1.384842768E-2,-2.198437899E-1,3.323559132E-1
1.121316770E-1,1.966743022E-1,-5.539371073E-2,-2.219743133E-1,3.016982600E-1
1.146192290E-1,1.487374306E-1,-9.587372839E-2,-2.230395675E-1,2.847125633E-1
1.171067810E-1,1.018658355E-1,-1.331579536E-1,-2.241048366E-1,2.798761634E-1
1.195943330E-1,5.925529078E-2,-1.672463864E-1,-2.241048366E-1,2.858417762E-1
1.220818850E-1,2.090579830E-2,-2.013348341E-1,-2.241048366E-1,3.019863335E-1
1.245694370E-1,-1.637842879E-2,-2.322274745E-1,-2.251701057E-1,3.238818138E-1
1.270569890E-1,-4.940159991E-2,-2.609896064E-1,-2.262353599E-1,3.489104911E-1
1.295445410E-1,-8.029424399E-2,-2.876211703E-1,-2.262353599E-1,3.746405494E-1
1.320320930E-1,-1.069258377E-1,-3.121222556E-1,-2.262353599E-1,4.000448416E-1
1.345196460E-1,-1.314269006E-1,-3.344927728E-1,-2.251701057E-1,4.240990707E-1
1.370071980E-1,-1.527321786E-1,-3.526022732E-1,-2.251701057E-1,4.453729425E-1
1.394947500E-1,-1.708416492E-1,-3.696464896E-1,-2.241048366E-1,4.648100409E-1
1.419823020E-1,-1.868206114E-1,-3.824296594E-1,-2.241048366E-1,4.810170090E-1
1.444698540E-1,-1.996037811E-1,-3.930822909E-1,-2.241048366E-1,4.945486170E-1
1.469574060E-1,-2.102564126E-1,-4.016043842E-1,-2.241048366E-1,5.056845046E-1
1.494449580E-1,-2.187785208E-1,-4.058654606E-1,-2.251701057E-1,5.131202489E-1
1.519325100E-1,-2.251701057E-1,-4.090612531E-1,-2.262353599E-1,5.188594447E-1
1.544200620E-1,-2.304964215E-1,-4.090612531E-1,-2.262353599E-1,5.211930037E-1
1.569076140E-1,-2.347574681E-1,-4.069307148E-1,-2.273006290E-1,5.218900760E-1
1.593951660E-1,-2.368880063E-1,-4.026696682E-1,-2.294311523E-1,5.204780907E-1
1.618827180E-1,-2.390185297E-1,-3.962780833E-1,-2.304964215E-1,5.170055872E-1
1.643702710E-1,-2.379532605E-1,-3.877559602E-1,-2.326269448E-1,5.109713635E-1
1.668578230E-1,-2.358227372E-1,-3.760380745E-1,-2.336922139E-1,5.016264025E-1
1.693453750E-1,-2.315616906E-1,-3.632549047E-1,-2.347574681E-1,4.905976062E-1
1.718335000E-1,-2.283658981E-1,-3.483411968E-1,-2.358227372E-1,4.786490742E-1
1.743206350E-1,-2.219743133E-1,-3.323622644E-1,-2.368880063E-1,4.646000410E-1
1.768077710E-1,-2.166479975E-1,-3.163833022E-1,-2.368880063E-1,4.507223938E-1
1.792949060E-1,-2.091911435E-1,-2.982738316E-1,-2.358227372E-1,4.339822307E-1
1.817820410E-1,-2.017343044E-1,-2.812296152E-1,-2.347574681E-1,4.182079565E-1
1.842692290E-1,-1.921469271E-1,-2.641853690E-1,-2.326269448E-1,4.010357169E-1
1.867564680E-1,-1.814942956E-1,-2.471411675E-1,-2.294311523E-1,3.829589922E-1
1.892437600E-1,-1.697763950E-1,-2.290316820E-1,-2.262353599E-1,3.639532576E-1
1.917311040E-1,-1.569932252E-1,-2.119874656E-1,-2.209090441E-1,3.440731959E-1
1.942185520E-1,-1.442100704E-1,-1.949432492E-1,-2.145174593E-1,3.237547763E-1
1.967061040E-1,-1.292963773E-1,-1.789642870E-1,-2.081258893E-1,3.034174600E-1
1.991937080E-1,-1.143826842E-1,-1.640505940E-1,-2.006690353E-1,2.833091202E-1
2.016813640E-1,-9.946899116E-2,-1.480716467E-1,-1.932121962E-1,2.629643427E-1
2.041690730E-1,-8.455529809E-2,-1.331579536E-1,-1.857553422E-1,2.436917853E-1
