"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.924807900E-2,9.645041466E0,1.069609642E0,-3.904344320E0
3.172932900E-2,9.678560257E0,1.040879130E0,-3.957016945E0
3.421177700E-2,9.659406662E0,1.016937137E0,-4.057573318E0
3.669708900E-2,9.640253067E0,1.026513934E0,-4.129399300E0
3.918240200E-2,9.592369080E0,1.021725535E0,-4.186860085E0
4.163240200E-2,9.554061890E0,1.045667648E0,-4.229955673E0
4.408240200E-2,9.534908295E0,1.069609642E0,-4.273051262E0
4.653240200E-2,9.501389503E0,1.136647224E0,-4.306570530E0
4.898813100E-2,9.458293915E0,1.194108129E0,-4.344877720E0
5.144386000E-2,9.419986725E0,1.241992116E0,-4.373608112E0
5.391229800E-2,9.372102737E0,1.304241419E0,-4.407126904E0
5.639412100E-2,9.324218750E0,1.342548609E0,-4.474164486E0
5.888917300E-2,9.281123161E0,1.371279001E0,-4.541202068E0
6.139662100E-2,9.209297180E0,1.400009394E0,-4.598662853E0
6.391521400E-2,9.170989990E0,1.428739905E0,-4.651335239E0
6.644323500E-2,9.118317604E0,1.471835494E0,-4.651335239E0
6.897870400E-2,9.065644264E0,1.490989089E0,-4.632181644E0
7.151943300E-2,9.060855865E0,1.524507880E0,-4.613028049E0
7.406307900E-2,9.046490669E0,1.543661594E0,-4.589086056E0
7.660729800E-2,9.041702271E0,1.567603588E0,-4.584297657E0
7.910932900E-2,9.027337074E0,1.581968784E0,-4.536413670E0
8.159708900E-2,8.993818283E0,1.601122379E0,-4.498106480E0
8.408485000E-2,8.965087891E0,1.610699177E0,-4.455010891E0
8.657261000E-2,8.926780701E0,1.610699177E0,-4.407126904E0
8.906031800E-2,8.898050308E0,1.596333981E0,-4.349666119E0
9.154802700E-2,8.859743118E0,1.572391987E0,-4.292205334E0
9.403573500E-2,8.840589523E0,1.558026791E0,-4.196436882E0
9.652344300E-2,8.816647530E0,1.519719481E0,-4.119822502E0
9.901115200E-2,8.816647530E0,1.500565886E0,-4.043208122E0
1.014988600E-1,8.816647530E0,1.486200690E0,-3.976170540E0
1.039865680E-1,8.850166321E0,1.481412292E0,-3.918709517E0
1.064742770E-1,8.893261909E0,1.452681899E0,-3.856460333E0
1.089619850E-1,8.950722694E0,1.423951507E0,-3.784634352E0
1.114496930E-1,9.032125473E0,1.380855799E0,-3.688866377E0
1.139374020E-1,9.099164009E0,1.328183413E0,-3.617040157E0
1.164251100E-1,9.166201591E0,1.280299306E0,-3.530848980E0
1.189128180E-1,9.214085579E0,1.237203717E0,-3.459022999E0
1.214005270E-1,9.276334763E0,1.170166135E0,-3.406350374E0
1.238882350E-1,9.338583946E0,1.093551636E0,-3.353677988E0
1.263759430E-1,9.372102737E0,1.031302333E0,-3.281852007E0
1.288636520E-1,9.419986725E0,9.882067442E-1,-3.243544817E0
1.313513600E-1,9.472659111E0,9.690531492E-1,-3.186083794E0
1.338390680E-1,9.525331497E0,9.307458997E-1,-3.138199806E0
1.363267770E-1,9.539696693E0,9.163807034E-1,-3.085527420E0
1.388144850E-1,9.558850288E0,9.115923047E-1,-3.052008629E0
1.413021930E-1,9.563638687E0,8.972271085E-1,-3.032855034E0
1.437899020E-1,9.544485092E0,8.924387097E-1,-3.023278236E0
1.462776100E-1,9.544485092E0,8.924387097E-1,-3.028066635E0
1.487653180E-1,9.525331497E0,9.115923047E-1,-3.047220230E0
1.512530270E-1,9.477447510E0,9.307458997E-1,-3.075950623E0
1.537407350E-1,9.410409927E0,9.403226972E-1,-3.109469414E0
1.562284430E-1,9.343372345E0,9.690531492E-1,-3.109469414E0
1.587161520E-1,9.290699959E0,1.012148738E0,-3.099892616E0
1.612038600E-1,9.242815971E0,1.064821243E0,-3.109469414E0
1.636915680E-1,9.166201591E0,1.141435623E0,-3.109469414E0
