"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.580005900E-2,-1.890842915E-1,2.845585644E-1,2.930806577E-1
7.835005900E-2,-1.752358675E-1,2.866890728E-1,2.920154035E-1
8.090005900E-2,-1.592569202E-1,2.898848653E-1,2.888196111E-1
8.345005900E-2,-1.422126889E-1,2.930806577E-1,2.834932804E-1
8.600005900E-2,-1.230379492E-1,2.973417044E-1,2.760364413E-1
8.855005900E-2,-1.038632020E-1,3.005374968E-1,2.675143182E-1
9.110005900E-2,-8.468846232E-2,3.037332892E-1,2.589922249E-1
9.365005900E-2,-6.551371515E-2,3.069290817E-1,2.504701018E-1
9.620005900E-2,-4.846949503E-2,3.101248741E-1,2.430132627E-1
9.875005900E-2,-3.142527863E-2,3.122554123E-1,2.355564237E-1
1.013000590E-1,-1.757685095E-2,3.143859208E-1,2.280995846E-1
1.038500590E-1,-6.924213842E-3,3.175817132E-1,2.227732539E-1
1.064000590E-1,2.663159044E-3,3.197122514E-1,2.185122073E-1
1.089500590E-1,9.054740891E-3,3.218427896E-1,2.142511457E-1
1.115000590E-1,1.225053146E-2,3.239732981E-1,2.110553533E-1
1.140500590E-1,1.331579592E-2,3.250385821E-1,2.078595608E-1
1.166000590E-1,1.331579592E-2,3.261038363E-1,2.046637833E-1
1.191500590E-1,1.225053146E-2,3.261038363E-1,2.004027218E-1
1.217000590E-1,1.118526794E-2,3.250385821E-1,1.972069293E-1
1.242500590E-1,1.012000442E-2,3.239732981E-1,1.918806136E-1
1.268000590E-1,7.989477366E-3,3.229080439E-1,1.897500902E-1
1.293500590E-1,6.924213842E-3,3.197122514E-1,1.865542978E-1
1.319000590E-1,6.924213842E-3,3.175817132E-1,1.822932363E-1
1.344500590E-1,6.924213842E-3,3.143859208E-1,1.790974438E-1
1.370000590E-1,6.924213842E-3,3.111901283E-1,1.759016514E-1
1.395500590E-1,6.924213842E-3,3.079943359E-1,1.716406047E-1
1.421000590E-1,7.989477366E-3,3.037332892E-1,1.673795432E-1
1.446500590E-1,9.054740891E-3,2.994722426E-1,1.641837656E-1
1.472000590E-1,1.225053146E-2,2.941459119E-1,1.620532274E-1
1.497500590E-1,1.438105945E-2,2.898848653E-1,1.599227041E-1
1.523000590E-1,1.864211448E-2,2.856238186E-1,1.577921808E-1
1.548500590E-1,2.290316857E-2,2.813627720E-1,1.577921808E-1
1.574000590E-1,2.716422267E-2,2.771016955E-1,1.577921808E-1
1.599448510E-1,3.142527863E-2,2.739059031E-1,1.588574350E-1
1.624325590E-1,3.462106735E-2,2.707101107E-1,1.609879732E-1
1.649202160E-1,3.781685978E-2,2.685796022E-1,1.620532274E-1
1.674078720E-1,3.888212144E-2,2.664490640E-1,1.631184965E-1
1.698955280E-1,3.994738683E-2,2.653838098E-1,1.652490199E-1
1.723831840E-1,3.888212144E-2,2.653838098E-1,1.684448123E-1
1.748708410E-1,3.675159439E-2,2.664490640E-1,1.716406047E-1
1.773584970E-1,3.355580568E-2,2.675143182E-1,1.759016514E-1
1.798461530E-1,3.142527863E-2,2.685796022E-1,1.812279820E-1
1.823338090E-1,2.929474972E-2,2.707101107E-1,1.876195520E-1
1.848214660E-1,2.822948620E-2,2.728406489E-1,1.950764060E-1
1.873091220E-1,2.822948620E-2,2.749711871E-1,2.025332451E-1
1.897967780E-1,2.822948620E-2,2.760364413E-1,2.121206224E-1
1.922844340E-1,2.929474972E-2,2.781669796E-1,2.206427306E-1
1.947720910E-1,3.142527863E-2,2.802974880E-1,2.280995846E-1
1.972597470E-1,3.462106735E-2,2.813627720E-1,2.355564237E-1
1.997474030E-1,3.994738683E-2,2.813627720E-1,2.419480085E-1
2.022350590E-1,4.633896798E-2,2.802974880E-1,2.472743243E-1
2.047227160E-1,5.379581451E-2,2.781669796E-1,2.504701018E-1
2.072103720E-1,6.231792271E-2,2.749711871E-1,2.526006401E-1
2.096980280E-1,7.297056168E-2,2.696448565E-1,2.536658943E-1
2.121856840E-1,8.362319320E-2,2.643185556E-1,2.526006401E-1
2.146733410E-1,9.427583218E-2,2.589922249E-1,2.504701018E-1
2.171609970E-1,1.059937328E-1,2.536658943E-1,2.462090552E-1
2.196486530E-1,1.177116334E-1,2.483395934E-1,2.419480085E-1
2.221363090E-1,1.294295341E-1,2.430132627E-1,2.355564237E-1
2.246239660E-1,1.411474347E-1,2.366216928E-1,2.291648388E-1
2.271116220E-1,1.539305896E-1,2.302301079E-1,2.217079997E-1
2.295992780E-1,1.677790284E-1,2.238385230E-1,2.153164148E-1
2.320869340E-1,1.826927215E-1,2.174469382E-1,2.078595608E-1
2.345745910E-1,1.965411454E-1,2.110553533E-1,2.004027218E-1
2.370622470E-1,2.114548385E-1,2.057290375E-1,1.929458827E-1
2.395499030E-1,2.274337858E-1,1.993374527E-1,1.854890287E-1
2.420375590E-1,2.423474789E-1,1.950764060E-1,1.790974438E-1
2.445252160E-1,2.583264410E-1,1.897500902E-1,1.727058738E-1
2.470128720E-1,2.732401192E-1,1.844237745E-1,1.684448123E-1
2.495005280E-1,2.870885432E-1,1.812279820E-1,1.641837656E-1
2.519882370E-1,2.998717129E-1,1.780321896E-1,1.609879732E-1
2.544759450E-1,3.115896285E-1,1.759016514E-1,1.577921808E-1
2.569636530E-1,3.222422600E-1,1.748363972E-1,1.545963883E-1
2.594513620E-1,3.296990991E-1,1.759016514E-1,1.535311192E-1
2.619390700E-1,3.360906839E-1,1.769669205E-1,1.514005959E-1
2.644267780E-1,3.414169848E-1,1.780321896E-1,1.503353268E-1
2.669144870E-1,3.435475230E-1,1.812279820E-1,1.503353268E-1
2.694021950E-1,3.446127772E-1,1.822932363E-1,1.503353268E-1
2.718899030E-1,3.435475230E-1,1.854890287E-1,1.503353268E-1
2.743776120E-1,3.414169848E-1,1.876195520E-1,1.503353268E-1
2.768653200E-1,3.371559381E-1,1.897500902E-1,1.503353268E-1
2.793530280E-1,3.328948915E-1,1.918806136E-1,1.503353268E-1
2.818407370E-1,3.254380524E-1,1.940111369E-1,1.503353268E-1
2.843284450E-1,3.190464675E-1,1.972069293E-1,1.492700726E-1
2.868161530E-1,3.115896285E-1,1.993374527E-1,1.471395344E-1
2.893038620E-1,3.030675054E-1,2.014679909E-1,1.450090110E-1
2.917915700E-1,2.966759205E-1,2.035985142E-1,1.418132186E-1
2.942792780E-1,2.881538272E-1,2.057290375E-1,1.396826953E-1
2.967669870E-1,2.817622423E-1,2.067943066E-1,1.364869028E-1
