"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.308770900E-2,8.335687965E-2,2.054627240E-1,2.167811543E-1
9.561572900E-2,8.548741043E-2,2.086585164E-1,2.221074700E-1
9.813947900E-2,8.761793375E-2,2.097237855E-1,2.263685167E-1
1.006271360E-1,8.974846452E-2,2.118543088E-1,2.306295782E-1
1.031147920E-1,9.081372619E-2,2.139848322E-1,2.338253707E-1
1.056024480E-1,9.081372619E-2,2.139848322E-1,2.370211631E-1
1.080901040E-1,9.081372619E-2,2.161153555E-1,2.391516864E-1
1.105777610E-1,9.081372619E-2,2.171806246E-1,2.423474789E-1
1.130654170E-1,9.187898785E-2,2.193111479E-1,2.434127480E-1
1.155530730E-1,9.400951862E-2,2.182458937E-1,2.444780022E-1
1.180407290E-1,9.827057272E-2,2.171806246E-1,2.444780022E-1
1.205283860E-1,1.014663652E-1,2.129195631E-1,2.434127480E-1
1.230160420E-1,1.046621501E-1,2.054627240E-1,2.412822098E-1
1.255036980E-1,1.067926809E-1,1.937448233E-1,2.391516864E-1
1.279913540E-1,1.067926809E-1,1.777658761E-1,2.348906398E-1
1.304790110E-1,1.057274193E-1,1.553953290E-1,2.306295782E-1
1.329666670E-1,1.046621501E-1,1.308942735E-1,2.253032625E-1
1.354543230E-1,1.046621501E-1,1.042626798E-1,2.199769467E-1
1.379419790E-1,1.067926809E-1,7.869634777E-2,2.135853618E-1
1.404296360E-1,1.078579426E-1,5.419528857E-2,2.071937770E-1
1.429172920E-1,1.110537350E-1,3.289001435E-2,2.018674612E-1
1.454049480E-1,1.153147891E-1,1.584579609E-2,1.965411454E-1
1.478926040E-1,1.185105816E-1,9.321057005E-4,1.922800839E-1
1.503802610E-1,1.227716357E-1,-9.720530361E-3,1.890842915E-1
1.528679170E-1,1.259674281E-1,-1.717737690E-2,1.869537681E-1
1.553555730E-1,1.270326823E-1,-2.143843099E-2,1.837579757E-1
1.578432290E-1,1.270326823E-1,-2.356895804E-2,1.816274524E-1
1.603308860E-1,1.259674281E-1,-2.463422157E-2,1.805621833E-1
1.628185420E-1,1.249021590E-1,-2.250369452E-2,1.784316599E-1
1.653061980E-1,1.238368973E-1,-1.930790395E-2,1.773663908E-1
1.677938540E-1,1.259674281E-1,-1.291632187E-2,1.752358675E-1
1.702815110E-1,1.280979514E-1,-4.394212738E-3,1.763011366E-1
1.727691670E-1,1.312937438E-1,6.258423906E-3,1.763011366E-1
1.752568230E-1,1.344895363E-1,2.010685205E-2,1.773663908E-1
1.777444790E-1,1.355548054E-1,3.502054140E-2,1.784316599E-1
1.802321360E-1,1.366200596E-1,5.313002318E-2,1.805621833E-1
1.827197920E-1,1.376853287E-1,7.017423958E-2,1.826927215E-1
1.852074480E-1,1.387505829E-1,8.828372508E-2,1.848232448E-1
1.876951040E-1,1.376853287E-1,1.053279415E-1,1.880190372E-1
1.901827610E-1,1.366200596E-1,1.202416345E-1,1.901495606E-1
1.926704170E-1,1.323590130E-1,1.340900660E-1,1.912148297E-1
1.951580730E-1,1.270326823E-1,1.458079666E-1,1.944106072E-1
1.976457290E-1,1.217063740E-1,1.543300748E-1,1.965411454E-1
2.001333860E-1,1.163800508E-1,1.617869139E-1,1.997369379E-1
2.026210420E-1,1.131842583E-1,1.660479754E-1,2.018674612E-1
2.051086980E-1,1.110537350E-1,1.681784987E-1,2.039979845E-1
2.075963540E-1,1.089232042E-1,1.681784987E-1,2.050632536E-1
2.100840110E-1,1.089232042E-1,1.671132296E-1,2.061285079E-1
2.125716670E-1,1.078579426E-1,1.649827063E-1,2.061285079E-1
2.150593230E-1,1.067926809E-1,1.607216448E-1,2.039979845E-1
2.175469790E-1,1.057274193E-1,1.553953290E-1,2.008021921E-1
2.200346360E-1,1.035968885E-1,1.468732208E-1,1.965411454E-1
2.225222920E-1,1.014663652E-1,1.372858584E-1,1.901495606E-1
2.250099480E-1,9.827057272E-2,1.245026886E-1,1.826927215E-1
2.274976040E-1,9.614004195E-2,1.117195264E-1,1.741705984E-1
2.299852610E-1,9.400951862E-2,9.787109494E-2,1.667137593E-1
